Metric,Baseline,Multimodal,Δ,▲
IoU,0.4662899242507087,0.43401921457714504,-0.03227070967356366,▼
Dice,0.6121014853318533,0.574737086892128,-0.03736439843972528,▼
Precision,0.7713863352934519,0.805999928050571,0.03461359275711906,▲
Recall,0.5548121763600243,0.4969166964292526,-0.05789547993077171,▼
F1,0.6121014919545915,0.5747370719909668,-0.03736441996362472,▼
Loss,0.33250096771452164,0.36900919675827026,0.03650822904374862,▲
